001 ; Лестничная клетка                                                                                                  ;        14,49 ;      16280,0 ;          0,0 ;       3300,0 ;          0,0 ;              ;              ;          0,0 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой@Шпатлёвка ж/б плит                                                                ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ;              ; ЗОНА         ; 0                                                                                            ; ЭО     ; Зоны.АР                                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       2665,0 ;       1550,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         6,65 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       4180,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         6,31 ; СТЕНА        ; Кирпич 510 штукатурка с 2х сторон с навесным фасадом                                         ; 0      ; Стены наружные кирпич.АР                          ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       6685,0 ;        760,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;        22,06 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       7010,0 ;        680,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;        23,13 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; Передний план                                                                                ; 0      ; Полы.АР                                           ; Пол            ; VII ;         28,8 ;      22380,0 ; 004 ;            1
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; Подвесная система PRELUDE 24                                                                 ; 0      ; Потолки.АР                                        ; Потолок        ; П1  ;         28,8 ;      22380,0 ; 004 ;            0
005 ; Электрощитовая                                                                                                     ;         2,24 ;       7210,0 ;          0,0 ;       3300,0 ;          0,0 ;              ;              ;       2000,0 ; Окраска краской Вд-ва-224 (ГОСТ 28196-89)@Шпатлёвка ж/б плит                                                                                  ; Облицовка керам. плиткой                                                                                    ; Улучшенная окраска краской ВД-ВА-224 (ГОСТ 28196-89)                                                        ; Улучшенная окраска краской ВД-ВА-224 (ГОСТ 28196-89)                                                        ;              ; ЗОНА         ; 0                                                                                            ; ПВО    ; Зоны.АР                                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        280,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,84 ; СТЕНА        ; Колонна АБК                                                                                  ; 0      ; Колонны.КЖ                                        ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        280,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,84 ; СТЕНА        ; Колонна АБК                                                                                  ; 0      ; Колонны.КЖ                                        ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        400,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         1,20 ; СТЕНА        ; Колонна АБК                                                                                  ; 0      ; Колонны.КЖ                                        ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        830,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         2,38 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1020,0 ;        780,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         3,26 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1020,0 ;        800,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         1,33 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1075,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         3,09 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       2305,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         7,61 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; Передний план                                                                                ; 0      ; Полы.АР                                           ; Пол            ; VII ;          2,2 ;       7207,0 ; 005 ;            1
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; Подвесная система PRELUDE 24                                                                 ; 0      ; Потолки.АР                                        ; Потолок        ; П1  ;          2,5 ;       7188,0 ; 010 ;            0
006 ; Кабинет мастера                                                                                                    ;        22,99 ;      22180,0 ;       1400,0 ;       3300,0 ;          0,0 ;              ;              ;          0,0 ; Окраска краской ВД-КЧ-183 (ГОСТ 28196-89)@Шпатлёвка ж/б плит                                                                                  ; Облицовка керам. плиткой                                                                                    ; Улучшенная окраска краской ВД-КЧ-183 (ГОСТ 28196-89)                                                        ; Улучшенная окраска краской ВД-КЧ-183 (ГОСТ 28196-89)                                                        ;              ; ЗОНА         ; 0                                                                                            ; УПО    ; Зоны.АР                                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        260,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,86 ; СТЕНА        ; Кирпич 120 штукатурка с 2х сторон                                                            ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        260,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,86 ; СТЕНА        ; Кирпич 120 штукатурка с 2х сторон                                                            ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        300,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,90 ; СТЕНА        ; Колонна АБК                                                                                  ; 0      ; Колонны.КЖ                                        ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        300,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,90 ; СТЕНА        ; Колонна АБК                                                                                  ; 0      ; Колонны.КЖ                                        ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        400,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         1,20 ; СТЕНА        ; Колонна АБК                                                                                  ; 0      ; Колонны.КЖ                                        ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        400,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         1,20 ; СТЕНА        ; Колонна АБК                                                                                  ; 0      ; Колонны.КЖ                                        ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1050,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         3,46 ; СТЕНА        ; Кирпич 120 штукатурка с 2х сторон                                                            ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1120,0 ;        900,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         1,55 ; СТЕНА        ; Кирпич 120 штукатурка с 2х сторон                                                            ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1210,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         3,79 ; СТЕНА        ; Кирпич 120 штукатурка с 2х сторон                                                            ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       3380,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         6,83 ; СТЕНА        ; Кирпич 510 штукатурка с 2х сторон с навесным фасадом                                         ; 0      ; Стены наружные кирпич.АР                          ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       6750,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;        22,08 ; СТЕНА        ; Кирпич 380 штукатурка с 2х сторон                                                            ; 0      ; Стены внутренние кирпич.АР                        ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       6750,0 ;        680,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;        22,28 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; Передний план                                                                                ; 0      ; Полы.АР                                           ; Пол            ; VII ;         23,6 ;      20778,0 ; 006 ;            1
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; Подвесная система PRELUDE 24                                                                 ; 0      ; Потолки.АР                                        ; Потолок        ; П1  ;         23,1 ;      20780,0 ; 006 ;            0
007 ; Медпункт                                                                                                           ;        22,63 ;      21490,0 ;          0,0 ;       3300,0 ;          0,0 ;              ;              ;          0,0 ; Окраска краской ВД-КЧ-183 (ГОСТ 28196-89)@Шпатлёвка ж/б плит                                                                                  ; Облицовка керам. плиткой                                                                                    ; Окраска краской ВД-ВА-224 (ГОСТ 28196-89)                                                                   ; Окраска краской ВД-ВА-224 (ГОСТ 28196-89)                                                                   ;              ; ЗОНА         ; 0                                                                                            ; ПВО    ; Зоны.АР                                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        205,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,68 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        555,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         1,83 ; СТЕНА        ; ГКЛ - обшивка по каркасу С623 55 мм                                                          ; 0      ; Перегородки ГКЛ.АР                                ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1155,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         3,81 ; СТЕНА        ; ГКЛ - обшивка по каркасу С623 55 мм                                                          ; 0      ; Перегородки ГКЛ.АР                                ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1180,0 ;        780,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         3,73 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       2000,0 ;       1630,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         4,41 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       2465,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         8,13 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       3735,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         7,62 ; СТЕНА        ; Кирпич 510 штукатурка с 2х сторон с навесным фасадом                                         ; 0      ; Стены наружные кирпич.АР                          ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       4545,0 ;        760,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;        15,00 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       5855,0 ;        800,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;        19,32 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; Передний план                                                                                ; 0      ; Полы.АР                                           ; Пол            ; V   ;         22,8 ;      21490,0 ; 007 ;            1
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; Передний план                                                                                ; 0      ; Полы.АР                                           ; Потолок        ; П1  ;         54,0 ;      32000,0 ;     ;            0
008 ; Комната для отбора биологических сред                                                                              ;        20,34 ;      19950,0 ;          0,0 ;       3300,0 ;          0,0 ;              ;              ;          0,0 ; Окраска краской ВД-КЧ-183 (ГОСТ 28196-89)@Шпатлёвка ж/б плит                                                                                  ; Облицовка керам. плиткой                                                                                    ; Окраска краской ВД-ВА-224 (ГОСТ 28196-89)                                                                   ; Окраска краской ВД-ВА-224 (ГОСТ 28196-89)                                                                   ;              ; ЗОНА         ; 0                                                                                            ; ПВО    ; Зоны.АР                                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
