001   ; Техническое подполье                                                ;       492,42 ;     116000,0 ;      16000,0 ;       1600,0 ;          0,0 ;              ;              ;          0,0 ; Окраска водоэмульсионными составами             ; Окраска водоэмульсионными составами ; Окраска водоэмульсионными составами    ; Окраска водоэмульсионными составами ;              ; ЗОНА   ; 0                                                                ; Зоны.АР                    ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       6000,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         9,60 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       6000,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         9,60 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       6500,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;        10,40 ; СТЕНА  ; Бетон - В25 (стены)                                              ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       6800,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;        10,88 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ; 0            ; ОБЪЕКТ ; Передний план                                                    ; Полы.АР                    ; Пол     ; 1  ;        492,4 ;     100000,0 ; 001   ;            0
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ; 0            ; ОБЪЕКТ ; Подвесная система PRELUDE 24                                     ; Потолки.АР                 ; Потолок ; П7 ;        492,4 ;     100000,0 ; 001   ;            0
002   ; Коридор                                                             ;         8,81 ;      17100,0 ;          0,0 ;       2200,0 ;          0,0 ;              ;              ;          0,0 ; Окраска водоэмульсионными составами             ; Окраска водоэмульсионными составами ; Окраска водоэмульсионными составами    ; Окраска водоэмульсионными составами ;              ; ЗОНА   ; 0                                                                ; Зоны.АР                    ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       1150,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         1,17 ; СТЕНА  ; Бетон - В25 (стены)                                              ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       1200,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         2,64 ; СТЕНА  ; Файерборд - перегородка C131.1 125 мм                            ; Перегородки ГКЛ.АР         ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       1250,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         2,75 ; СТЕНА  ; Файерборд - перегородка C131.1 125 мм                            ; Перегородки ГКЛ.АР         ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       2400,0 ;       1010,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         3,16 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       4900,0 ;       1010,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         8,66 ; СТЕНА  ; Файерборд - перегородка C131.1 125 мм                            ; Перегородки ГКЛ.АР         ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       6000,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;        13,20 ; СТЕНА  ; Бетон - В25 (стены)                                              ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
003   ; Венткамера                                                          ;        17,71 ;      18550,0 ;          0,0 ;       2200,0 ;          0,0 ;              ;              ;          0,0 ; Окраска водоэмульсионными составами             ; Окраска водоэмульсионными составами ; Окраска водоэмульсионными составами    ; Окраска водоэмульсионными составами ;              ; ЗОНА   ; 0                                                                ; Зоны.АР                    ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       1250,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         2,75 ; СТЕНА  ; Файерборд - перегородка C131.1 125 мм                            ; Перегородки ГКЛ.АР         ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       1325,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         2,91 ; СТЕНА  ; Файерборд - перегородка C131.1 125 мм                            ; Перегородки ГКЛ.АР         ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       1875,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         4,13 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       3125,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         6,87 ; СТЕНА  ; Бетон - В25 (стены)                                              ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       4775,0 ;       1010,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         8,28 ; СТЕНА  ; Файерборд - перегородка C131.1 125 мм                            ; Перегородки ГКЛ.АР         ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       6000,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;        13,20 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
