       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;4,325;кв.м.                                          ;       4,325 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;4,369;кв.м.                                          ;       4,369 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;4,587;кв.м.                                          ;       4,587 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;4,630;кв.м.                                          ;       4,630 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;4,674;кв.м.                                          ;       4,674 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;4,717;кв.м.                                          ;       4,717 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;4,765;кв.м.                                          ;       4,765 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;4,805;кв.м.                                          ;       4,805 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;4,847;кв.м.                                          ;       4,847 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;4,892;кв.м.                                          ;       4,892 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;4,937;кв.м.                                          ;       4,937 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;4,978;кв.м.                                          ;       4,978 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;5,020;кв.м.                                          ;       5,020 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;5,063;кв.м.                                          ;       5,063 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;5,110;кв.м.                                          ;       5,110 ; кв.м.          
      68 ; Д2  ; -;30; ; ;Общая площадь обработки;-;7,478;кв.м.                                          ;     508,477 ; кв.м.          
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;0,870;п.м.#дерев3,20                         ;       0,870 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;1,035;п.м.#дерев3,20                         ;       1,035 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;1,200;п.м.#дерев3,20                         ;       1,200 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;1,370;п.м.#дерев3,20                         ;       1,370 ; п.м.#дерев3,20 
       3 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;13,980;п.м.#дерев3,20                        ;      41,940 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;13,985;п.м.#дерев3,20                        ;      13,985 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;15,575;п.м.#дерев3,20                        ;      15,575 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;15,635;п.м.#дерев3,20                        ;      15,635 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;15,705;п.м.#дерев3,20                        ;      15,705 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;15,785;п.м.#дерев3,20                        ;      15,785 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;15,865;п.м.#дерев3,20                        ;      15,865 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;16,030;п.м.#дерев3,20                        ;      16,030 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;16,195;п.м.#дерев3,20                        ;      16,195 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;16,360;п.м.#дерев3,20                        ;      16,360 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;16,525;п.м.#дерев3,20                        ;      16,525 ; п.м.#дерев3,20 
       1 ; Д2  ; -;40;Д2;ГОСТ 8486-86;Доска: Доска 100x32;-;17,350;п.м.#дерев3,20                        ;      17,350 ; п.м.#дерев3,20 
